epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
106,3650.64,1.77175,2.19676,0.97534,0.82141,0.3,0.3105,0.06929,3.03903,2.63365,1.38205,0.0009605,0.0009605,0.0009605
107,3671.84,1.54772,2.54691,0.91348,0.82141,0.3,0.3105,0.06929,3.03903,2.63365,1.38205,0.0009506,0.0009506,0.0009506
108,3697.88,1.6342,3.22178,0.80005,1,0.29676,0.30866,0.06336,3.05751,2.67672,1.3817,0.0009407,0.0009407,0.0009407
109,3726.69,1.75609,2.54461,0.90609,0.96796,0.35,0.35662,0.05587,3.09976,2.69657,1.39888,0.0009308,0.0009308,0.0009308
110,3755.04,1.56386,2.62292,0.92273,0.96796,0.35,0.35662,0.05587,3.09976,2.69657,1.39888,0.0009209,0.0009209,0.0009209
111,3801.24,1.46893,3.07933,0.7894,0.69274,0.25,0.2318,0.04982,3.07275,2.62431,1.40999,0.000911,0.000911,0.000911
112,3842.13,1.45504,2.39604,0.87207,0.6982,0.25,0.23472,0.04826,3.03586,2.57446,1.41902,0.0009011,0.0009011,0.0009011
113,3865.19,1.77352,2.55405,1.01078,0.6982,0.25,0.23472,0.04826,3.03586,2.57446,1.41902,0.0008912,0.0008912,0.0008912
114,3886.22,1.90115,2.61207,0.94858,0.70096,0.25,0.24975,0.04946,2.96063,2.52265,1.382,0.0008813,0.0008813,0.0008813
115,3909.3,1.68264,2.29117,0.9443,0.83064,0.3,0.33991,0.06706,2.95173,2.4795,1.35175,0.0008714,0.0008714,0.0008714
116,3957.18,1.47611,2.55604,0.83368,0.83064,0.3,0.33991,0.06706,2.95173,2.4795,1.35175,0.0008615,0.0008615,0.0008615
117,4002.77,1.7973,1.98595,0.96139,0.85008,0.3,0.35468,0.06948,2.98396,2.4928,1.34129,0.0008516,0.0008516,0.0008516
118,4037.73,1.58123,1.99909,0.95355,0.85008,0.3,0.35468,0.06948,2.98396,2.4928,1.34129,0.0008417,0.0008417,0.0008417
119,4061.8,1.4271,2.52807,0.81835,0.82821,0.3,0.34798,0.0865,2.93758,2.48351,1.32311,0.0008318,0.0008318,0.0008318
120,4081.92,1.53087,2.25929,0.91401,0.83731,0.3,0.3434,0.09207,2.92399,2.53131,1.31609,0.0008219,0.0008219,0.0008219
121,4103.15,1.54378,2.00103,0.89073,0.83731,0.3,0.3434,0.09207,2.92399,2.53131,1.31609,0.000812,0.000812,0.000812
122,4133.8,1.65088,2.40484,0.89129,0.9756,0.35,0.40358,0.08311,2.93848,2.45811,1.33886,0.0008021,0.0008021,0.0008021
123,4164.31,1.57213,2.34734,0.87944,0.96274,0.35,0.4009,0.06516,2.97732,2.46229,1.36251,0.0007922,0.0007922,0.0007922
